setup,split,macro_f1,accuracy
G,10,0.6883597883597883,0.7719298245614035
H,10,0.7043675283949883,0.8070175438596491
A,11,0.4924912237390145,0.543859649122807
B,11,0.27154348919054805,0.3508771929824561
C,11,0.3491961741961742,0.40350877192982454
D,11,0.5112399945733279,0.5789473684210527
E,11,0.4736760078223493,0.5614035087719298
F,11,0.47991045991045994,0.5263157894736842
G,11,0.5410256410256411,0.631578947368421
H,11,0.5792052284805909,0.6842105263157895
A,12,0.617989417989418,0.631578947368421
B,12,0.32961945461945463,0.43859649122807015
C,12,0.3987160166210733,0.43859649122807015
D,12,0.6184007082557808,0.6666666666666666
E,12,0.6184007082557808,0.6666666666666666
F,12,0.6047082278966338,0.6666666666666666
G,12,0.6911976911976913,0.7017543859649122
H,12,0.6380372188882828,0.7368421052631579
A,13,0.47239022820418164,0.6785714285714286
B,13,0.22702882483370285,0.39285714285714285
C,13,0.396061676350634,0.5
D,13,0.5009424480969196,0.6607142857142857
E,13,0.508058608058608,0.6607142857142857
F,13,0.40844340844340843,0.625
G,13,0.6494726845604039,0.7678571428571429
H,13,0.5987041281158928,0.7321428571428571
A,14,0.6176687510020843,0.6071428571428571
B,14,0.5095441595441595,0.4642857142857143
C,14,0.5776814144461204,0.5357142857142857
D,14,0.548602988953866,0.5178571428571429
E,14,0.5541595441595442,0.5535714285714286
F,14,0.38321789321789324,0.4642857142857143
G,14,0.6437389770723104,0.6428571428571429
H,14,0.7457124435847841,0.7321428571428571
A,15,0.47263939763939766,0.631578947368421
B,15,0.28495850923387156,0.42105263157894735
C,15,0.33033509700176367,0.43859649122807015
D,15,0.5031016860285153,0.6140350877192983
E,15,0.5633381433381434,0.6491228070175439
F,15,0.45154213446896374,0.5789473684210527
G,15,0.5747757073844031,0.7017543859649122
H,15,0.5554457619675012,0.6842105263157895
A,16,0.5551673300899307,0.6140350877192983
B,16,0.24108957442290777,0.3684210526315789
C,16,0.3678581480439066,0.42105263157894735
D,16,0.5571795571795571,0.5964912280701754
E,16,0.5255183413078149,0.5964912280701754
F,16,0.4388932055598722,0.543859649122807
G,16,0.6863424122910047,0.7543859649122807
H,16,0.6545986177565125,0.7368421052631579
A,17,0.6814999814999815,0.6666666666666666
B,17,0.34760348583878,0.40350877192982454
C,17,0.4667768959435626,0.47368421052631576
D,17,0.5436162753235925,0.6140350877192983
E,17,0.5644380311046978,0.6140350877192983
F,17,0.47355482845055136,0.5789473684210527
G,17,0.6516528789391799,0.7192982456140351
H,17,0.7117928367928368,0.7894736842105263
A,18,0.5723739223739224,0.5714285714285714
B,18,0.4185024851691519,0.44642857142857145
C,18,0.552348885682219,0.5357142857142857
D,18,0.6754913559791609,0.6607142857142857
E,18,0.5593297398175446,0.6428571428571429
F,18,0.5770885242429958,0.6607142857142857
G,18,0.7658240647118302,0.7321428571428571
H,18,0.7658866093648702,0.75
A,19,0.5859062143375868,0.625
B,19,0.31192881192881194,0.375
C,19,0.42964890859627697,0.48214285714285715
D,19,0.47562930896264227,0.5892857142857143
E,19,0.4679333012666345,0.5714285714285714
F,19,0.5148468815135482,0.5892857142857143
G,19,0.5022796198582793,0.5892857142857143
H,19,0.6901016040774072,0.7321428571428571
A,20,0.6015503015503015,0.631578947368421
B,20,0.33070002997539233,0.38596491228070173
C,20,0.3812830687830687,0.42105263157894735
D,20,0.46624463082575485,0.5789473684210527
E,20,0.4248436748436749,0.5614035087719298
F,20,0.39578792703571775,0.5614035087719298
G,20,0.6538062327536012,0.6842105263157895
H,20,0.6652390424768941,0.7192982456140351
A,21,0.605689022355689,0.6666666666666666
B,21,0.36678424456202235,0.40350877192982454
C,21,0.47789923442097354,0.49122807017543857
D,21,0.5054303720970388,0.6140350877192983
E,21,0.6096184062850729,0.6491228070175439
F,21,0.49094650205761314,0.6140350877192983
G,21,0.7201336426826623,0.7719298245614035
H,21,0.7660253326919995,0.8070175438596491
A,22,0.5226449963292068,0.631578947368421
B,22,0.42838488671822006,0.47368421052631576
C,22,0.48536155202821873,0.5087719298245614
D,22,0.6447051606471896,0.6491228070175439
E,22,0.6265672599005933,0.631578947368421
F,22,0.4260381593714927,0.5263157894736842
G,22,0.7122153209109732,0.6842105263157895
H,22,0.6640933140933141,0.7192982456140351
A,23,0.5688271604938272,0.6428571428571429
B,23,0.24563102063102063,0.39285714285714285
C,23,0.4338569735886557,0.5178571428571429
D,23,0.4808690466931114,0.6428571428571429
E,23,0.4734030827054083,0.625
F,23,0.49332454984628904,0.6607142857142857
G,23,0.5496876055386694,0.7142857142857143
H,23,0.5473785473785474,0.7142857142857143
A,24,0.5497835497835497,0.6071428571428571
B,24,0.36922157889899826,0.39285714285714285
C,24,0.4619232619232619,0.4642857142857143
D,24,0.5189280189280189,0.5892857142857143
E,24,0.5498180182390708,0.625
F,24,0.5189280189280189,0.5892857142857143
G,24,0.5890703188948803,0.6964285714285714
H,24,0.6194805194805195,0.7321428571428571
