,macro_f1,macro_f1,accuracy,accuracy
,mean,std,mean,std
setup,,,,
A,0.571,0.055,0.63,0.049
B,0.324,0.074,0.404,0.043
C,0.437,0.066,0.481,0.055
D,0.536,0.068,0.615,0.048
E,0.546,0.06,0.623,0.047
F,0.483,0.059,0.59,0.055
G,0.647,0.065,0.707,0.049
H,0.657,0.068,0.732,0.041
